train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,time/fps,train/critic_loss,train/learning_rate,time/total_timesteps,train/n_updates
-0.31574898958206177,437.75,4,65.8035888671875,-5386.996687749999,18,0.8862605690956116,93,0.6680967211723328,0.0001,1751,1250
-0.5457070469856262,376.375,8,79.05793762207031,-3239.1931611249997,38,0.7931404113769531,78,6.698491096496582,0.0001,3011,2510
-0.7814368009567261,362.0833333333333,12,80.40321350097656,-2469.0191044999997,72,0.7029023170471191,59,20.775014877319336,0.0001,4345,3844
-0.9140755534172058,399.8125,16,82.62377166748047,-2167.8209069375,115,0.5835819840431213,55,51.99485778808594,0.0001,6397,5896
-0.9513320922851562,331.55,20,77.21851348876953,-1777.5991116999999,122,0.5713863968849182,54,118.7872085571289,0.0001,6631,6130
-0.8491545915603638,335.6666666666667,24,81.86705780029297,-1582.5002694583334,146,0.5060433149337769,55,85.81523895263672,0.0001,8056,7555
-0.8606889247894287,318.75,28,72.54737854003906,-1411.0862413928571,161,0.4719015061855316,55,60.041259765625,0.0001,8925,8424
-0.744646430015564,287.25,32,64.55812072753906,-1262.9026905,169,0.4617564082145691,54,31.504196166992188,0.0001,9192,8691
-0.9501621723175049,263.6666666666667,36,65.86058044433594,-1148.0847329444448,177,0.4506022036075592,53,35.193359375,0.0001,9492,8991
-0.7032470107078552,243.825,40,64.93108367919922,-1055.177554475,184,0.44108831882476807,52,76.18394470214844,0.0001,9753,9252
-0.4373089075088501,225.9318181818182,44,72.42166137695312,-976.2626500454546,190,0.434509813785553,52,37.516357421875,0.0001,9941,9440
-0.8332817554473877,214.0625,48,53.433494567871094,-916.2223878750001,195,0.4236076772212982,52,49.98517608642578,0.0001,10275,9774
-0.6483712196350098,200.1153846153846,52,58.51966857910156,-860.2957232115386,197,0.41972291469573975,52,74.5810317993164,0.0001,10406,9905
-0.37740853428840637,219.19642857142858,56,49.189598083496094,-845.7414549642856,233,0.3734093904495239,52,33.602783203125,0.0001,12275,11774
-0.7718349099159241,250.68333333333334,60,35.0857048034668,-861.7527059166665,310,0.28786495327949524,48,7.380797386169434,0.0001,15041,14540
-0.8777247071266174,256.453125,64,37.98194885253906,-851.7027299062499,338,0.2525617778301239,48,3.1575801372528076,0.0001,16413,15912
-0.5981147289276123,266.80882352941177,68,44.962215423583984,-847.951025367647,373,0.21191152930259705,48,8.910234451293945,0.0001,18143,17642
-0.08774572610855103,285.3888888888889,72,44.10258483886719,-851.9266947083335,440,0.178204745054245,46,9.590828895568848,0.0001,20548,20047
-0.39350736141204834,313.5131578947368,76,44.902931213378906,-885.2661324078948,532,0.14068138599395752,44,1.6835356950759888,0.0001,23827,23326
-0.12314829230308533,325.9125,80,50.54906463623047,-910.687403575,588,0.12791484594345093,44,6.705983638763428,0.0001,26073,25572
-0.322091281414032,334.9404761904762,84,54.993141174316406,-895.5869485119048,637,0.124789297580719,44,2.010162353515625,0.0001,28135,27634
-0.3365511894226074,337.90909090909093,88,53.377716064453125,-877.9230956477272,681,0.1232256144285202,43,1.2980653047561646,0.0001,29736,29235
0.08735288679599762,336.1521739130435,92,57.53898239135742,-876.3790107608694,713,0.11978926509618759,43,2.223327875137329,0.0001,30926,30425
-0.32934194803237915,326.7604166666667,96,57.2989387512207,-851.1407430312498,725,0.1198139414191246,43,14.901164054870605,0.0001,31369,30868
-0.020313896238803864,316.54,100,59.04026412963867,-826.5577284999999,733,0.11971505731344223,43,2.6046881675720215,0.0001,31654,31153
-0.0005300864577293396,299.78,104,59.691490173339844,-618.16051638,735,0.11969904601573944,43,1.338449239730835,0.0001,31729,31228
0.30119138956069946,289.41,108,57.21760940551758,-582.5303537299999,742,0.11947938799858093,43,8.360992431640625,0.0001,31952,31451
0.4315112233161926,277.29,112,61.77191162109375,-552.0664882300001,745,0.11943991482257843,43,2.188612937927246,0.0001,32074,31573
-0.3450247049331665,258.1,116,58.51762771606445,-508.63378549999993,749,0.1200115829706192,42,1.3160719871520996,0.0001,32207,31706
-0.29358941316604614,256.51,120,56.57167053222656,-506.98266786999994,752,0.12007477879524231,42,2.0343270301818848,0.0001,32282,31781
0.2840845286846161,244.96,124,63.902679443359375,-492.2334564099999,760,0.12103327363729477,42,10.040363311767578,0.0001,32552,32051
-0.15934225916862488,238.03,128,57.24293518066406,-484.4407515599999,765,0.12152155488729477,42,1.1643667221069336,0.0001,32728,32227
